word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
increased,budgets,military,little,anything,anyone,else,”,•,•,Left,0.3,0.087,0.0,0.913,433,Positive
phillips,fein,’,invisible,hands,mayer,’,recent,dark,money,Left,0.0,0.0,0.0,1.0,3689,Neutral
sanders,democratic,nominee,covid,deaths,globally,spring,leon,cooperman,chairman,Left,0.0,0.0,0.0,1.0,3689,Neutral
mid,1970s,reagan,emerging,national,conservatism,corporate,power,washington,weak,Left,-0.4,0.0,0.104,0.896,256,Negative
series,modern,history,conservatism,beginning,follows,movement,barry,goldwater,’,Left,0.0,0.0,0.0,1.0,3689,Neutral
included,thirty,countries—the,united,states,plus,european,states—the,united,states,Left,0.7,0.189,0.0,0.811,455,Positive
appeal,yes,politicians,bernie,sanders,warren,made,progressive,wing,democratic,Left,0.4,0.097,0.0,0.903,762,Positive
count,poor,compare,child,ten,thirty,scandinavia,failure,’,attributed,Left,-0.8,0.0,0.218,0.782,93,Negative
children,lack,sufficient,measure,amartya,nussbaum,called,“,capabilities,”,Left,-0.3,0.0,0.091,0.909,263,Negative
example,rampant,routine,welfare,fraud,run,law,welfare,scams,charged,Left,-0.9,0.0,0.29,0.71,43,Negative
made,outlandish,false,claim,regarding,labelled,“,welfare,queen,”,Left,0.0,0.0,0.0,1.0,3689,Neutral
decision,harms,could,follow,women,undesired,pregnancies,term,nevertheless,distinction,Left,-0.5,0.0,0.113,0.887,272,Negative
rights,might,save,roe,his,precedent,june,medical,longer,looks,Left,0.5,0.113,0.0,0.887,520,Positive
stare,decisis,doctrine,requiring,court,precedents,predicted,regardless,roberts,thought,Left,0.0,0.0,0.0,1.0,3689,Neutral
supreme,court,’,recent,decision,medical,services,russo,surprised,many,Left,0.7,0.193,0.0,0.807,455,Positive
eventually,deescalate,justices,antonin,scalia,bader,ginsburg,argued,roe,decided,Left,-0.4,0.0,0.091,0.909,256,Negative
spoke,constitutional,privacy,right,encompassed,’,abortion,decision,harms,could,Left,-0.5,0.0,0.118,0.882,272,Negative
european,civilizations,cousins—australia,new,zealand,earlier,united,states—could,democratic,rule,Left,0.4,0.101,0.0,0.899,762,Positive
indian,social,norms,much,like,jacques,rousseau,mahatma,gandhi,long,Left,0.4,0.091,0.0,0.909,762,Positive
months,infamous,emergency,exception,costa,developing,country,enjoyed,long,democratic,Left,0.2,0.11,0.087,0.803,321,Positive
tide,chinese,cultural,revolution,–,belief,politics,could,create,new,Left,0.3,0.08,0.0,0.92,433,Positive
sexual,gratification,”,legal,scholar,ritchie,writes,“,’,notions,Left,0.5,0.163,0.0,0.837,520,Positive
crimes,example,general,manager,downtown,angrily,wrote,his,city,council,Left,-0.4,0.0,0.101,0.899,256,Negative
’,supposed,exist,”,said,salcedo,founder,trans,latina,coalition,Left,0.0,0.0,0.0,1.0,3689,Neutral
arbiters,urban,order,solution,scholar,sears,calls,“,problem,bodies,Left,-0.1,0.082,0.096,0.821,152,Negative
women,’,bodies,would,turn,officers,authority,enforce,predatory,vision,Left,0.3,0.125,0.0,0.875,433,Positive
street,action,boston,co,organized,prescod,sex,worker,activists,women,Left,0.0,0.0,0.0,1.0,3689,Neutral
ride,home,sexually,harassed,assaulted,borders,wrote,facebook,hankison,“,Left,-0.8,0.0,0.231,0.769,93,Negative
”,borders,time,report,rape,feared,retaliation,“,upper,hand,Left,-0.7,0.1,0.246,0.654,128,Negative
say,is—and,case,hankison,shows—we,crucial,component,police,violence,think,Left,-0.6,0.0,0.141,0.859,208,Negative
lewis,mcfarland,”,set,“,potocki,”,single,mother,worked,Left,0.0,0.0,0.0,1.0,3689,Neutral
typically,hinged,officer,’,appraisal,’,appearance,reputation,company,she,Left,0.0,0.0,0.0,1.0,3689,Neutral
practices,exxonmobil,example,bought,ads,new,york,times,announcing,investment,Left,0.0,0.0,0.0,1.0,3689,Neutral
annual,budget,fundamental,energy,research,office,science,billion,ramping,budgets,Left,0.3,0.077,0.0,0.923,433,Positive
could,easily,comply,provisions,australia,poised,withdraw,treaties,like,kyoto,Left,0.7,0.231,0.0,0.769,455,Positive
literature,“,howling,wilderness,inscribed,history,european,import,”,empty,Left,-0.2,0.0,0.073,0.927,234,Negative
arrival,enslaved,africans,british,colony,appropriate,place,begin,telling,story,Left,-0.4,0.0,0.097,0.903,256,Negative
