Left Political,Left Emotional,Right Political,Right Emotional,Window Size
opportunity,garner,risk,capitol,5
vote,burden,judge,grounds,5
count,ensure,election,acknowledged,5
trump,perfect,democratic,apparently,5
rhetoric,professor,challenger,practice,5
forum,argument,race,treat,5
united,car,voting,dinosaur,5
states,reconstruction,single,zoom,5
uprisings,published,party,disclosed,5
law,abolition,working,dump,5
police,remind,security,freshman,5
mass,broke,security,lifetime,5
adoption,boston,election,serve,5
communities,proud,voting,outcome,5
credit,welcomed,election,congressman,5
strike,celebrated,failed,continue,5
review,ways,voting,continue,5
opportunity,real,wants,disgraced,5
unprecedented,boston,impound,team,5
democracy,killing,election,earlier,5
citizenship,sister,loose,found,5
panel,dealing,covid,track,5
review,abolition,data,important,5
obama,ways,fear,continued,5
popular,reconstruction,opinion,sister,5
politics,impersonation,police,continued,5
brother,professor,vote,sister,5
democracy,raise,upcoming,finally,5
racial,stone,senate,finally,5
activist,mountain,republicans,published,5
cross,giant,trump,account,5
foucault,revival,vote,quiet,5
knowledge,defend,control,governor,5
knowledge,invoke,senate,habitual,5
mask,saving,government,options,5
culture,clutches,ministerial,hold,5
wars,height,commissioner,ruling,5
mass,rebellion,head,happy,5
foreign,historian,free,qualify,5
electoral,rebellion,election,teaching,5
college,lawlessness,democratic,credential,5
president,historian,party,submit,5
popular,greatest,nominee,multiple,5
vote,negro,claim,giving,5
working,rising,president,publication,5
class,color,senate,cost,5
solidarity,writing,elections,sex,5
liberals,correspondence,head,convict,5
mass,writer,democratic,determination,5
foreign,words,party,slam,5
problem,scholar,nominee,ambitious,5
tide,supporters,candidate,stroke,5
theory,basis,republican,rejected,5
social,rural,senators,found,5
order,sway,confirmation,allowed,5
rally,precisely,voting,ignore,5
land,writing,right,tenure,5
trump,guilt,states,genius,5
industrial,shame,seat,litigation,5
nation,completely,reapportionment,doubt,5
spectacle,height,congress,doubt,5
research,belligerent,constitution,imply,5
protests,facing,government,hero,5
social,pitch,census,bode,5
media,schizophrenia,administration,governor,5
sales,words,support,governor,5
cooperation,construction,members,opponent,5
right,displaced,members,shortly,5
international,important,alexandria,deputy,5
trump,morning,leave,adviser,5
campaigning,wave,property,deputy,5
emigration,conspiracy,office,stick,5
africa,morning,massive,cage,5
australia,write,voter,cover,5
trump,sexuality,fraud,couple,5
race,present,precinct,bones,5
relations,perennial,massive,reunion,5
multiculturalism,potential,biden,tour,5
policy,victim,vote,band,5
australia,constant,home,remember,5
racial,close,term,beat,5
trump,founder,republican,program,5
campaigning,key,republican,arc,5
referendum,famous,democratic,stallion,5
vote,role,democratic,porn,5
trump,twenty,eastern,lawyer,5
international,regular,district,fact,5
networks,matter,uncertainty,revere,5
law,feminist,recount,revere,5
civil,active,recount,sounding,5
threat,medicine,southeast,literally,5
established,license,young,squad,5
east,shooting,young,winning,5
welfare,unarmed,republican,endangered,5
rights,love,district,stolen,5
leader,shooting,seat,key,5
peace,unarmed,right,surrogate,5
activist,march,sick,attempt,5
liberation,club,trump,fashion,5
movement,deacon,polls,submission,5
side,artist,changes,cards,5
communist,knee,dominion,coming,5
critical,project,equality,weather,5
national,renegade,commonwealth,lemon,5
national,matter,court,coming,5
organization,feminist,judge,morning,5
police,shooting,biden,circus,5
roles,unarmed,home,refused,5
radical,love,supreme,request,5
movements,brown,court,refusal,5
communist,riding,video,pending,5
leader,round,home,mob,5
police,mother,senator,lawyer,5
police,intervening,majority,team,5
chief,history,leader,mix,5
mass,repression,mixed,present,5
school,brilliant,fiscal,evidence,5
desegregation,gorgeous,republicans,surrounding,5
congress,sunlight,panel,computer,5
racial,sunlight,arguments,fair,5
equality,beautiful,hearing,attack,5
effective,argue,home,bonds,5
effective,share,private,god,5
aid,faculty,school,supporting,5
south,retirement,school,interview,5
deep,evidence,school,lawyer,5
revolutionary,satellite,revolution,retired,5
radical,amidst,revolution,conspicuous,5
ticket,rector,merkel,fake,5
power,combination,law,handful,5
district,soccer,immigration,argument,5
radio,club,reservation,interview,5
radio,channel,law,collusion,5
labor,award,affirmative,delusion,5
leader,winning,action,witch,5
peace,features,national,key,5
activist,excerpt,national,player,5
brother,conversation,debt,pool,5
police,episode,public,ring,5
imagined,subscribe,private,pastor,5
imagined,boston,debt,record,5
rights,mother,money,persuade,5
movement,occasion,sexism,pool,5
anc,publication,school,opponent,5
legal,slice,civil,criticize,5
legal,forget,biden,conspiracy,5
image,despair,biden,welcomed,5
leave,bad,administration,newly,5
country,idea,working,driveway,5
issues,stuff,class,seemingly,5
issues,close,elections,enter,5
administration,predatory,right,crowd,5
national,professor,democrats,calling,5
national,written,court,key,5
leave,conversation,constitution,exposure,5
country,read,trump,inter,5
threats,essay,barnstorm,inclusion,5
system,episode,challenge,sex,5
system,subscribe,conservative,offender,5
propaganda,literary,paid,registry,5
service,close,campaign,obvious,5
review,describe,campaign,downfall,5
young,heart,democratic,admitted,5
young,idea,national,serial,5
middle,violent,national,fellow,5
conference,theft,committee,officer,5
community,biology,incumbent,true,5
interest,owe,senators,subvert,5
convergence,excerpt,trump,temporary,5
bureaucracy,historian,general,assessment,5
bureaucracy,paternity,fbi,unstable,5
address,elusive,biden,obsession,5
leaders,history,national,regain,5
bloomberg,bed,national,reestablish,5
value,landscape,security,unstable,5
freedom,architect,security,ended,5
private,dispute,general,teach,5
security,grow,biden,dispel,5
security,bed,obama,suspicions,5
right,imagine,trump,temporary,5
front,bones,election,brake,5
violence,interview,corruption,date,5
talks,servitude,modern,calling,5
public,giving,dossier,securities,5
justice,landscape,paid,guinea,5
law,architect,democrats,angry,5
discussion,interview,campaign,garbage,5
political,interview,campaign,journal,5
political,proper,senators,steal,5
police,understanding,mass,tabernacle,5
peace,interview,term,choir,5
occupy,included,utility,opponent,5
national,interview,states,brute,5
national,touch,stein,narrative,5
security,belief,question,attempt,5
security,bad,election,promise,5
civic,bloom,brother,meeting,5
nationalism,singer,means,joy,5
land,bloom,covid,repudiation,5
alternative,singer,states,remains,5
